item_id,product_category,bullet_point,item_keywords,item_name,product_type,brand,combined_text,text_id
B07N295F7B,SHOES_CLOTHING_PERSONAL,,,Amazon Brand find Men s Suede Penny Loafers,SHOES,find.,Amazon Brand find Men s Suede Penny Loafers,text1
B0812BSVST,SHOES_CLOTHING_PERSONAL,,,find Men s Leather Moccasin Brown Burgundy womens 12,SHOES,find.,find Men s Leather Moccasin Brown Burgundy womens 12,text2
B078GTNSR4,SHOES_CLOTHING_PERSONAL, men shoe sneakers men sneakers mens sneakers boat men men for men mens mens casual fathers day gifts for dad , men shoe sneakers men sneakers mens sneakers boat men men for men mens mens casual fathers day gifts for dad ,Amazon Brand 206 Collective Men s Barnes Suede Casual Oxford Gray 9 5 D US,SHOES,206 Collective, men shoe sneakers men sneakers mens sneakers boat men men for men mens mens casual fathers day gifts for dad  men shoe sneakers men sneakers mens sneakers boat men men for men mens mens casual fathers day gifts for dad Amazon Brand 206 Collective Men s Barnes Suede Casual Oxford Gray 9 5 D US,text3
B07W71BNT3,SHOES_CLOTHING_PERSONAL,,,find Women s JUDD S 1A 1 Espadrilles Brown Natural Snake 6 5 us,SANDAL,find.,find Women s JUDD S 1A 1 Espadrilles Brown Natural Snake 6 5 us,text4
B01NC2W21T,SHOES_CLOTHING_PERSONAL, casual basics designer work wear business office top gifts gifts for zapatos shoe para de hombre caballero male botas fathers day gifts for dad , casual basics designer work wear business office top gifts gifts for zapatos shoe para de hombre caballero male botas fathers day gifts for dad ,206 Collective Pioneer Moc Toe Botas de cord n para hombre,SHOES,206 Collective, casual basics designer work wear business office top gifts gifts for zapatos shoe para de hombre caballero male botas fathers day gifts for dad  casual basics designer work wear business office top gifts gifts for zapatos shoe para de hombre caballero male botas fathers day gifts for dad 206 Collective Pioneer Moc Toe Botas de cord n para hombre,text5
B07Z8FHX2L,SHOES_CLOTHING_PERSONAL,,,find Men s Maximum Moccasin Rot Dark Burgundy US 7,SHOES,find.,find Men s Maximum Moccasin Rot Dark Burgundy US 7,text6
B07Z595HHW,SHOES_CLOTHING_PERSONAL,,,Amazon Brand find Women s Mule Closed Toe Heels Brown Caramel 4 UK,SHOES,find.,Amazon Brand find Women s Mule Closed Toe Heels Brown Caramel 4 UK,text7
B07W4L4DLJ,SHOES_CLOTHING_PERSONAL,,,find Women s JUDD S 1A 1 Espadrilles Brown Tan 4,SANDAL,find.,find Women s JUDD S 1A 1 Espadrilles Brown Tan 4,text8
B07FQWVPQG,SHOES_CLOTHING_PERSONAL, women woman clothing sandals casual summer spring , women woman clothing sandals casual summer spring ,Amazon Essentials Women s Thong Sandal White 5 B US,SANDAL,Amazon Essentials, women woman clothing sandals casual summer spring  women woman clothing sandals casual summer spring Amazon Essentials Women s Thong Sandal White 5 B US,text9
B07Q3962B4,SHOES_CLOTHING_PERSONAL, mitten spotted , mitten spotted ,Amazon Brand Spotted Zebra Girl s 3 Piece Fleece Cold Weather Accessories Set,ACCESSORY,Spotted Zebra, mitten spotted  mitten spotted Amazon Brand Spotted Zebra Girl s 3 Piece Fleece Cold Weather Accessories Set,text10
B07RRWD6DC,SHOES_CLOTHING_PERSONAL, UK , UK ,find Addison Mocassins Brown Casual Tan 12 US,SHOES,find., UK  UK find Addison Mocassins Brown Casual Tan 12 US,text11
B076RJGSWS,SHOES_CLOTHING_PERSONAL, zapatos shoe ladies mujer womans pumps dress heels designer spring summer dressy fancy date night gifts for her , zapatos shoe ladies mujer womans pumps dress heels designer spring summer dressy fancy date night gifts for her ,Amazon Brand The Fix Women s Veronica Platform Peep Toe Pump Black Patent Synthetic 6 B US,SHOES,The Fix, zapatos shoe ladies mujer womans pumps dress heels designer spring summer dressy fancy date night gifts for her  zapatos shoe ladies mujer womans pumps dress heels designer spring summer dressy fancy date night gifts for her Amazon Brand The Fix Women s Veronica Platform Peep Toe Pump Black Patent Synthetic 6 B US,text12
B06VXB49HW,SHOES_CLOTHING_PERSONAL,,,find Women s Basic Leather Black 8 UK,SHOES,find.,find Women s Basic Leather Black 8 UK,text13
B07Z9817YP,SHOES_CLOTHING_PERSONAL,,,find Men s Moccasin Braun Chocolate Gum 8 UK,SHOES,find.,find Men s Moccasin Braun Chocolate Gum 8 UK,text14
