item_id,product_category,bullet_point,item_keywords,item_name,product_type,brand,combined_text,text_id,price,rating,sponsor,small_business
B07CVFV3J6,FURNITURE, furniture size cherry con queen bunkbeds wood headboard sleigh for wrangle frame set with usa yellow upholstery louis mattress farmhouse stairs decoro south platform mirror rails adults bedding kid king jennifer cal roma trundle ca rod storage de divano and bright madera woodland white taylor , furniture size cherry con queen bunkbeds wood headboard sleigh for wrangle frame set with usa yellow upholstery louis mattress farmhouse stairs decoro south platform mirror rails adults bedding kid king jennifer cal roma trundle ca rod storage de divano and bright madera woodland white taylor ,Stone Beam Javier Burnished Bronze Bed,BED,Stone & Beam, furniture size cherry con queen bunkbeds wood headboard sleigh for wrangle frame set with usa yellow upholstery louis mattress farmhouse stairs decoro south platform mirror rails adults bedding kid king jennifer cal roma trundle ca rod storage de divano and bright madera woodland white taylor  furniture size cherry con queen bunkbeds wood headboard sleigh for wrangle frame set with usa yellow upholstery louis mattress farmhouse stairs decoro south platform mirror rails adults bedding kid king jennifer cal roma trundle ca rod storage de divano and bright madera woodland white taylor Stone Beam Javier Burnished Bronze Bed,text1,200-500,star 3-4,yes,no
B00BD27ZE8,FURNITURE, patio covers patio heaters covers chairs cover Classic Canes Terrazzo Patio Umbrella Cover air conditioner cover outdoor patio heater sofa covers air conditioner covers patio patio furniture cover chaise lounge outdoor furniture ac covers for outside duck cover patio cushions patio heater covers furniture cover patio sectional covers outdoor cushions duck covers patio furniture covers patio chair cover patio cover outdoor furniture covers waterproof patio table covers patio chair covers outdoor table cover wayfair basics patio umbrella cover wfbs1939 patio umbrella cover chair covers Classic Accessories Collection Protective Weather Repellent Water Resistant U V Protection Protect Protects cover deck collection sleet rain snow wind sun dry wet cover covers sold by amazon umbrella shade outdoor chair chair cover freeport park table cover patio furniture patio sofa cover ravenna patio furniture covers patio umbrella patio table outdoor chair covers patio chair patio cushion veranda patio furniture cover outdoor chair cover umbrella covers outdoor furniture cover umbrella cover sofa cover outdoor patio patio table cover chaise lounge cover outdoor sectional cover cover , patio covers patio heaters covers chairs cover Classic Canes Terrazzo Patio Umbrella Cover air conditioner cover outdoor patio heater sofa covers air conditioner covers patio patio furniture cover chaise lounge outdoor furniture ac covers for outside duck cover patio cushions patio heater covers furniture cover patio sectional covers outdoor cushions duck covers patio furniture covers patio chair cover patio cover outdoor furniture covers waterproof patio table covers patio chair covers outdoor table cover wayfair basics patio umbrella cover wfbs1939 patio umbrella cover chair covers Classic Accessories Collection Protective Weather Repellent Water Resistant U V Protection Protect Protects cover deck collection sleet rain snow wind sun dry wet cover covers sold by amazon umbrella shade outdoor chair chair cover freeport park table cover patio furniture patio sofa cover ravenna patio furniture covers patio umbrella patio table outdoor chair covers patio chair patio cushion veranda patio furniture cover outdoor chair cover umbrella covers outdoor furniture cover umbrella cover sofa cover outdoor patio patio table cover chaise lounge cover outdoor sectional cover cover ,Classic Accessories 58902 Terrazzo Water Resistant 11 Foot Patio Umbrella Cover Sand 10 in,FURNITURE_COVER,Classic Accessories, patio covers patio heaters covers chairs cover Classic Canes Terrazzo Patio Umbrella Cover air conditioner cover outdoor patio heater sofa covers air conditioner covers patio patio furniture cover chaise lounge outdoor furniture ac covers for outside duck cover patio cushions patio heater covers furniture cover patio sectional covers outdoor cushions duck covers patio furniture covers patio chair cover patio cover outdoor furniture covers waterproof patio table covers patio chair covers outdoor table cover wayfair basics patio umbrella cover wfbs1939 patio umbrella cover chair covers Classic Accessories Collection Protective Weather Repellent Water Resistant U V Protection Protect Protects cover deck collection sleet rain snow wind sun dry wet cover covers sold by amazon umbrella shade outdoor chair chair cover freeport park table cover patio furniture patio sofa cover ravenna patio furniture covers patio umbrella patio table outdoor chair covers patio chair patio cushion veranda patio furniture cover outdoor chair cover umbrella covers outdoor furniture cover umbrella cover sofa cover outdoor patio patio table cover chaise lounge cover outdoor sectional cover cover  patio covers patio heaters covers chairs cover Classic Canes Terrazzo Patio Umbrella Cover air conditioner cover outdoor patio heater sofa covers air conditioner covers patio patio furniture cover chaise lounge outdoor furniture ac covers for outside duck cover patio cushions patio heater covers furniture cover patio sectional covers outdoor cushions duck covers patio furniture covers patio chair cover patio cover outdoor furniture covers waterproof patio table covers patio chair covers outdoor table cover wayfair basics patio umbrella cover wfbs1939 patio umbrella cover chair covers Classic Accessories Collection Protective Weather Repellent Water Resistant U V Protection Protect Protects cover deck collection sleet rain snow wind sun dry wet cover covers sold by amazon umbrella shade outdoor chair chair cover freeport park table cover patio furniture patio sofa cover ravenna patio furniture covers patio umbrella patio table outdoor chair covers patio chair patio cushion veranda patio furniture cover outdoor chair cover umbrella covers outdoor furniture cover umbrella cover sofa cover outdoor patio patio table cover chaise lounge cover outdoor sectional cover cover Classic Accessories 58902 Terrazzo Water Resistant 11 Foot Patio Umbrella Cover Sand 10 in,text2,100-200,star 4-5,no,yes
B083H3WMT3,FURNITURE, z furniture under sillones small prime swivel sale express rocker nhi homestretch microfiber glider reclinable people boy lane sales lazy ashley overstuffed dollars chocolate on boxberg reclinables chairs 200 power la rocking gray recliners nursery cover , z furniture under sillones small prime swivel sale express rocker nhi homestretch microfiber glider reclinable people boy lane sales lazy ashley overstuffed dollars chocolate on boxberg reclinables chairs 200 power la rocking gray recliners nursery cover ,AmazonBasics Silla reclinable con acolchado extra renovada Poliuretano Marr n,CHAIR,AmazonBasics, z furniture under sillones small prime swivel sale express rocker nhi homestretch microfiber glider reclinable people boy lane sales lazy ashley overstuffed dollars chocolate on boxberg reclinables chairs 200 power la rocking gray recliners nursery cover  z furniture under sillones small prime swivel sale express rocker nhi homestretch microfiber glider reclinable people boy lane sales lazy ashley overstuffed dollars chocolate on boxberg reclinables chairs 200 power la rocking gray recliners nursery cover AmazonBasics Silla reclinable con acolchado extra renovada Poliuretano Marr n,text3,500-1000,star 1-2,no,no
B07KR9WBN7,FURNITURE,,,Cream Swatch Ravenna Home,CHAIR,Ravenna Home,Cream Swatch Ravenna Home,text4,50-100,star 3-4,no,no
B07L8DQQ4Q,FURNITURE, fur stool rolling stool adjustable phoenix home folding step stool stool bar stools set of 4 counter stools set of 3 barstools vanity chair faux leather counter stool foldable step stool bar stools set of 2 feaux leather bar stools corsair t2 collapsible step stool rolling stool rolling chair bar stools vanity stool pink chair pink desk chair salon chair bar bar stool counter height stools stool with wheels counter height bar stools counter stool counter stools counter stools set of 2 leather counter stools step stool pink office chair folding step stool for kids , fur stool rolling stool adjustable phoenix home folding step stool stool bar stools set of 4 counter stools set of 3 barstools vanity chair faux leather counter stool foldable step stool bar stools set of 2 feaux leather bar stools corsair t2 collapsible step stool rolling stool rolling chair bar stools vanity stool pink chair pink desk chair salon chair bar bar stool counter height stools stool with wheels counter height bar stools counter stool counter stools counter stools set of 2 leather counter stools step stool pink office chair folding step stool for kids ,Phoenix Home Lotusville Vintage PU Leather Set of 2 Counter Height Stool Gray,STOOL_SEATING,Phoenix Home, fur stool rolling stool adjustable phoenix home folding step stool stool bar stools set of 4 counter stools set of 3 barstools vanity chair faux leather counter stool foldable step stool bar stools set of 2 feaux leather bar stools corsair t2 collapsible step stool rolling stool rolling chair bar stools vanity stool pink chair pink desk chair salon chair bar bar stool counter height stools stool with wheels counter height bar stools counter stool counter stools counter stools set of 2 leather counter stools step stool pink office chair folding step stool for kids  fur stool rolling stool adjustable phoenix home folding step stool stool bar stools set of 4 counter stools set of 3 barstools vanity chair faux leather counter stool foldable step stool bar stools set of 2 feaux leather bar stools corsair t2 collapsible step stool rolling stool rolling chair bar stools vanity stool pink chair pink desk chair salon chair bar bar stool counter height stools stool with wheels counter height bar stools counter stool counter stools counter stools set of 2 leather counter stools step stool pink office chair folding step stool for kids Phoenix Home Lotusville Vintage PU Leather Set of 2 Counter Height Stool Gray,text5,200-500,star 3-4,no,no
B07KR89SZ1,FURNITURE,,,Arrow Swatch Ravenna Home,CHAIR,Ravenna Home,Arrow Swatch Ravenna Home,text6,under 50,star 2-3,no,no
B001BQ1Q9G,FURNITURE, Amazon furntiure strathwood Pinzon fd classic style , Amazon furntiure strathwood Pinzon fd classic style ,Pinzon Kinzie silla de comedor de madera de 18 pulgadas 2 nbsp unidades,CHAIR,Pinzon by Amazon, Amazon furntiure strathwood Pinzon fd classic style  Amazon furntiure strathwood Pinzon fd classic style Pinzon Kinzie silla de comedor de madera de 18 pulgadas 2 nbsp unidades,text7,under 50,star 1-2,no,no
B07MM5H3HX,FURNITURE,,,Ravenna Home Classic Plank Top Console Table with Large Drawer 42 W Black Wood,TABLE,Ravenna Home,Ravenna Home Classic Plank Top Console Table with Large Drawer 42 W Black Wood,text8,under 50,star 4-5,no,no
B07HYY8ZGY,FURNITURE, furniture para design shaped queen room small casa rooms linen set sofas cortinas bed loveseat sets farmhouse sleep corner signature microfiber ottoman living sleepers poundex couches memory cama recliner sectionals by ikea sofa grey calion modern french sectional out love couch gray chaise , furniture para design shaped queen room small casa rooms linen set sofas cortinas bed loveseat sets farmhouse sleep corner signature microfiber ottoman living sleepers poundex couches memory cama recliner sectionals by ikea sofa grey calion modern french sectional out love couch gray chaise ,Stone Beam Westcott Sof contempor neo 93 0 in de ancho Niebla Haze ,SOFA,Stone & Beam, furniture para design shaped queen room small casa rooms linen set sofas cortinas bed loveseat sets farmhouse sleep corner signature microfiber ottoman living sleepers poundex couches memory cama recliner sectionals by ikea sofa grey calion modern french sectional out love couch gray chaise  furniture para design shaped queen room small casa rooms linen set sofas cortinas bed loveseat sets farmhouse sleep corner signature microfiber ottoman living sleepers poundex couches memory cama recliner sectionals by ikea sofa grey calion modern french sectional out love couch gray chaise Stone Beam Westcott Sof contempor neo 93 0 in de ancho Niebla Haze ,text9,under 50,star 4-5,yes,no
B07QFRSLZB,FURNITURE, rustic furniture 24 furmax para leg room sillas stool inches mid patio shell barstools century 4 kitchen clearance gun farmhouse table teens centiar living lucite 6 dinning ladderback desk bar comedor decor bistro de tolix bedroom chairs folding round gray white waiting d372 eames dinner ghost , rustic furniture 24 furmax para leg room sillas stool inches mid patio shell barstools century 4 kitchen clearance gun farmhouse table teens centiar living lucite 6 dinning ladderback desk bar comedor decor bistro de tolix bedroom chairs folding round gray white waiting d372 eames dinner ghost ,Rivet Silla de comedor contempor nea con respaldo de canal 35 0 in de alto Textil Ivory,CHAIR,Rivet, rustic furniture 24 furmax para leg room sillas stool inches mid patio shell barstools century 4 kitchen clearance gun farmhouse table teens centiar living lucite 6 dinning ladderback desk bar comedor decor bistro de tolix bedroom chairs folding round gray white waiting d372 eames dinner ghost  rustic furniture 24 furmax para leg room sillas stool inches mid patio shell barstools century 4 kitchen clearance gun farmhouse table teens centiar living lucite 6 dinning ladderback desk bar comedor decor bistro de tolix bedroom chairs folding round gray white waiting d372 eames dinner ghost Rivet Silla de comedor contempor nea con respaldo de canal 35 0 in de alto Textil Ivory,text10,200-500,star 4-5,no,no
